iter	Passed	Remaining
486	1586	1671
487	1588	1666
488	1591	1662
489	1593	1658
490	1594	1652
491	1596	1648
492	1598	1643
493	1599	1638
494	1604	1637
495	1605	1631
496	1608	1628
497	1609	1622
498	1609	1616
499	1612	1612
500	1612	1606
501	1614	16502502	1616	15503	1601	1575
504	1605	1573
505	1608	1570
506	1611	1567
507	1613	1563
508	1618	1560
509	1620	1557
510	1624	1554
511	1627	1551
512	1630	1548
513	1636	1547
514	1638	1542
515	1643	1541
516	1645	1537
517	1651	1536
518	1653	1532
519	1658	1530
520	1660	1526
521	1665	1525
522	1669	1522
523	1672	1519
524	1676	1516
525	1679	1513
526	1684	1511
527	1687	1508
528	1691	1505
529	1695	1503
530	1698	1500
531	1702	1497
532	1706	1494
533	1709	1491
534	1711	1487
535	1716	1485
536	1719	1482
537	1724	1480
538	1727	1477
539	1730	1474
540	1734	1471
541	1738	1469
542	1742	1466
543	1746	1463
544	1749	1460
545	1754	1458
546	1756	1454
547	1758	1450
548	1759	1445
549	1761	1441
550	1764	1437
551	1765	1432
552	1767	1428
553	1769	1424
554	1770	1419
555	1772	1415
556	1774	1411
557	1775	1406
558	1778	1402
559559	1828	14560560	1833	1435
561	1838	1432
562	1840	1428
563	1844	1425
564	1848	1423
565	1851	1420
566	1853	1415
567	1858	1413
568	1861	1410
569	1864	1406
570	1866	1402
571	1870	1399
572	1874	1396
573	1877	1393
574	1880	1389
575	1882	13576576	1886	1382
577	1895	1383
578	1896	1378
579	1898	13580580	1900	13581	1834	1317
582	1836	1313
583	1837	1309
584584	1920	1362
585	1922	1357
586	1924	1354
587	1926	1349
588	1927	1344
589	1931	1341
590	1936	1340
591	1941	1338
592	1943	1333
593	1944	1329
594	1946	1324
595	1948	1320
596	1949	13597	1867	1255
598	1873	1253
599	1878	1252
600	1882	1249
601	1883	1245
602	1884	1240
603	1885	1236
604	1887	1232
605605	1990	1293
606	1991	1289
607	1994	1285
608	1998	1282
609	2000	1279
610	2004	1275
611	2005	1271
612	2008	1268
613	2014	1266
614	2017	1263
615	2019	1258
616	2022	1255
617	2025	1251
618	2026	1247
619	2027	1242
620	2030	1239
621	2041	1240
622	2042	1236
623	2045	1232
624	2046	1228
625	2048	1223
626	2049	1219
627	2051	1215
628	2054	1211
629	2055	1207
630	2057	1202
631	2059	1199
632	2091	1212
633	2093	1208
634	2099	1206
635	2100	1202
636	2102	1198
637	2104	1194
638	2105	1189
639	2107	1185
640	2109	1181
641	2110	1177
642	2113	1173
643	2114	1168
644	2134	1174
645	2136	1170
646	2138	1166
647	2139	1162
648	2141	1158
649	2143	1153
650	2144	1149
651	2146	1145
652	2148	1141
653	2166	1146
654	2170	1143
655	2172	1139
656	2174	1135
657	2175	1130
658	2177	1126
659	2179	1122
660	2180	1118
661	2183	1115
662	2190	1113
663	2192	1109
664	2194	1105
665	2196	1101
666	2197	1097
667	2199	1093
668	2201	1089
669	2203	1085
670	2204	1080
671	2206	1077
672	2208	1072
673	2209	1068
674	2212	1065
675	2213	1060
676	2214	1056
677	2222	1055
678	2225	1051
679	2229	1049
680	2234	1046
681	2235	1042
682	2239	1039
683	2243	1036
684	2244	1032
685	2248	1029
686	2250	1025
687	2252	1021
688	2256	1018
689	2259	1015
690	2262	1011
691	2265	1008
692	2267	1004
693	2270	1001
694	2273	997
695	2277	994
696	2280	991
697	2283	988
698	2285	984
699	2290	981
700	2294	978
701	2298	975
702	2302	972
703	2307	970
704	2310	966
705	2314	963
706	2318	960
707	2322	957
708	2329	955
709	2333	953
710	2336	949
711	2345	948
712	2347	944
713	2353	942
714	2358	940
715	2362	937
716	2366	933
717	2369	930
718	2373	927
719	2376	924
720	2381	921
721	2386	919
722	2391	916
723	2395	913
724	2399	910
725	2403	906
726	2408	904
727	2413	901
728	2417	898
729	2426	897
730	2431	894
731	2436	892
732	2440	888
733	2444	885
734	2448	882
735	2452	879
736	2456	876
737	2460	873
738	2463	870
739	2467	867
740	2471	863
741	2477	861
742	2481	858
743	2485	855
744	2490	852
745	2494	849
746	2498	846
747	2504	843
748	2508	840
749	2512	837
750	2516	834
751	2520	831
752	2524	828
753	2528	824
754	2532	821
755	2536	818
756	2539	815
757	2544	812
758	2554	811
759	2561	808
760	2565	805
761	2570	802
762	2576	800
763	2580	797
764	2584	793
765	2592	791
766	2596	788
767	2600	785
768	2605	782
769	2607	778
770	2609	775
771	2612	771
772	2614	767
773	2623	765
774	2625	762
775	2627	758
776	2630	754
777	2632	751
778	2641	749
779	2643	745
780	2646	742
781	2648	738
782	2650	734
783	2660	733
784	2664	729
785	2669	726
786	2673	723
787	2677	720
788	2681	717
789	2685	713
790	2689	710
791	2693	707
792	2696	704
793	2700	700
794	2704	697
795	2708	694
796	2714	691
797	2720	688
798	2725	685
799	2728	682
800	2732	678
801	2734	675
802	2740	672
803	2744	669
804	2747	665
805	2750	661
806	2752	658
807	2754	654
808	2761	652
809	2766	648
810	2770	645
811	2774	642
812	2779	639
813	2783	636
814	2788	633
815	2792	629
816	2796	626
817	2800	623
818	2804	619
819	2808	616
820	2812	613
821	2816	609
822	2821	606
823	2826	603
824	2830	600
825	2836	597
826	2838	593
827	2841	590
828	2844	586
829	2847	583
830	2848	579
831	2850	575
832	2851	571
833	2855	568
834	2857	564
835	2859	560
836	2863	557
837	2864	553
838	2865	549
839	2869	546
840	2870	542
841	2871	538
842	2873	535
843	2876	531
844	2877	527
845	2879	524
846	2881	520
847	2883	516
848	2885	513
849	2888	509
850	2890	506
851	2893	502
852	2897	499
853	2898	495
854	2904	492
855	2905	488
856	2907	485
857	2909	481
858	2911	477
859	2913	474
860	2915	470
861	2917	466
862	2919	463
863	2922	460
864	2925	456
865	2928	453
866	2932	449
867	2936	446
868	2939	443
869	2943	439
870	2946	436
871	2951	433
872	2953	429
873	2957	426
874	2960	422
875	2963	419
876	2968	416
877	2974	413
878	2981	410
879	2983	406
880	2989	403
881	2991	400
882	2996	397
883	2998	393
884	3002	390
885	3006	386
886	3010	383
887	3013	380
888	3016	376
889	3019	373
890	3022	369
891	3026	366
892	3030	363
893	3035	359
894	3038	356
895	3040	352
896	3043	349
897	3049	346
898	3053	343
899	3056	339
900	3059	336
901	3062	332
902	3067	329
903	3071	326
904	3074	322
905	3077	319
906	3080	315
907	3085	312
908	3088	309
909	3090	305
910	3096	302
911	3100	299
912	3103	295
913	3104	292
914	3110	288
915	3112	285
916	3115	281
917	3118	278
918	3120	275
919	3126	271
920	3128	268
921	3129	264
922	3136	261
923	3138	258
924	3139	254
925	3141	251
926	3142	247
927	3154	244
928	3155	241
929	3156	237
930	3158	234
931	3159	230
932	3160	226
933	3162	223
934	3164	220
935	3182	217
936	3183	214
937	3185	210
938	3186	207
939	3187	203
940	3189	199
941	3190	196
942	3191	192
943	3193	189
944	3194	185
945	3195	182
946	3197	178
947	3202	175
948	3203	172
949	3209	168
950	3210	165
951	3212	161
952	3218	158
953	3221	155
954	3223	151
955	3228	148
956	3231	145
957	3235	141
958	3237	138
959	3242	135
960	3243	131
961	3248	128
962	3250	124
963	3256	121
964	3259	118
965	3264	114
966	3267	111
967	3271	108
968	3273	104
969	3279	101
970	3283	98
971	3287	94
972	3291	91
973	3295	87
974	3298	84
975	3303	81
976	3307	77
977	3311	74
978	3314	71
979	3317	67
980	3322	64
981	3326	60
982	3328	57
983	3333	54
984	3337	50
985	3341	47
986	3343	44
987	3346	40
988	3349	37
989	3354	33
990	3358	30
991	3361	27
992	3365	23
993	3369	20
994	3372	16
995	3376	13
996	3380	10
997	3382	6
998	3383	3
999	3385	0
